"","X","Tip","Ecto_spp","Genus","Plot","Site","Salix.spp","Ind","abund","mean","Phylum","Order","...1","Ecto_ID","Species","Subspecies","Rhizomorph","Foraging_distance","Accession_No","Notes","Tree_site"
"38",221,571,"Hebeloma_cf._atrobrunneum","Hebeloma",8,"18","PED","18PED1",1,-0.1,"Basidiomycota","Agaricales",7,"Hebeloma hygrophilum","hygrophilum",NA,NA,NA,"KT275664.1","99% across 99%","18PED"
"39",222,572,"Hebeloma_cf._atrobrunneum","Hebeloma",8,"18","PED","18PED1",1,-0.1,"Basidiomycota","Agaricales",7,"Hebeloma hygrophilum","hygrophilum",NA,NA,NA,"KT275664.1","99% across 99%","18PED"
"40",223,573,"Hebeloma_cf._atrobrunneum","Hebeloma",8,"18","PED","18PED1",1,-0.1,"Basidiomycota","Agaricales",7,"Hebeloma hygrophilum","hygrophilum",NA,NA,NA,"KT275664.1","99% across 99%","18PED"
"41",226,580,"Hebeloma_cf._atrobrunneum","Hebeloma",8,"18","PED","18PED1",1,-0.1,"Basidiomycota","Agaricales",7,"Hebeloma hygrophilum","hygrophilum",NA,NA,NA,"KT275664.1","99% across 99%","18PED"
"42",227,582,"Hebeloma_cf._atrobrunneum","Hebeloma",8,"18","PED","18PED1",1,-0.1,"Basidiomycota","Agaricales",7,"Hebeloma hygrophilum","hygrophilum",NA,NA,NA,"KT275664.1","99% across 99%","18PED"
"43",230,586,"Hebeloma_cf._atrobrunneum","Hebeloma",8,"18","PED","18PED2",1,-0.1,"Basidiomycota","Agaricales",7,"Hebeloma hygrophilum","hygrophilum",NA,NA,NA,"KT275664.1","99% across 99%","18PED"
"44",232,588,"Hebeloma_cf._atrobrunneum","Hebeloma",8,"18","PED","18PED2",1,-0.1,"Basidiomycota","Agaricales",7,"Hebeloma hygrophilum","hygrophilum",NA,NA,NA,"KT275664.1","99% across 99%","18PED"
"45",236,593,"Hebeloma_cf._atrobrunneum","Hebeloma",8,"18","PED","18PED2",1,-0.1,"Basidiomycota","Agaricales",7,"Hebeloma hygrophilum","hygrophilum",NA,NA,NA,"KT275664.1","99% across 99%","18PED"
"46",244,601,"Hebeloma1","Hebeloma",8,"18","PED","18PED3",1,-0.1,"Basidiomycota","Agaricales",10,"Hebeloma NA",NA,NA,NA,NA,NA,NA,"18PED"
"47",266,633,"Hebeloma_cf._atrobrunneum","Hebeloma",8,"18","DIS","18DIS2",1,-0.1,"Basidiomycota","Agaricales",7,"Hebeloma hygrophilum","hygrophilum",NA,NA,NA,"KT275664.1","99% across 99%","18DIS"
"48",283,651,"Inocybe_lacera_var._lacera","Inocybe",10,"19","PED","19PED1",1,-0.1,"Basidiomycota","Agaricales",6,"Inocybe lacera","lacera","lacera","N","short","KT275681.1","97% similar","19PED"
"49",286,655,"Hebeloma_cf._atrobrunneum","Hebeloma",10,"19","PED","19PED2",1,-0.1,"Basidiomycota","Agaricales",7,"Hebeloma hygrophilum","hygrophilum",NA,NA,NA,"KT275664.1","99% across 99%","19PED"
"50",287,656,"Hebeloma_cf._atrobrunneum","Hebeloma",10,"19","PED","19PED2",1,-0.1,"Basidiomycota","Agaricales",7,"Hebeloma hygrophilum","hygrophilum",NA,NA,NA,"KT275664.1","99% across 99%","19PED"
"51",288,657,"Hebeloma_cf._atrobrunneum","Hebeloma",10,"19","PED","19PED2",1,-0.1,"Basidiomycota","Agaricales",7,"Hebeloma hygrophilum","hygrophilum",NA,NA,NA,"KT275664.1","99% across 99%","19PED"
"52",289,658,"Hebeloma_cf._atrobrunneum","Hebeloma",10,"19","PED","19PED2",1,-0.1,"Basidiomycota","Agaricales",7,"Hebeloma hygrophilum","hygrophilum",NA,NA,NA,"KT275664.1","99% across 99%","19PED"
"53",291,660,"Hebeloma_cf._atrobrunneum","Hebeloma",10,"19","PED","19PED2",1,-0.1,"Basidiomycota","Agaricales",7,"Hebeloma hygrophilum","hygrophilum",NA,NA,NA,"KT275664.1","99% across 99%","19PED"
"54",292,662,"Hebeloma_cf._atrobrunneum","Hebeloma",10,"19","PED","19PED2",1,-0.1,"Basidiomycota","Agaricales",7,"Hebeloma hygrophilum","hygrophilum",NA,NA,NA,"KT275664.1","99% across 99%","19PED"
"55",293,665,"Hebeloma_cf._atrobrunneum","Hebeloma",10,"19","PED","19PED2",1,-0.1,"Basidiomycota","Agaricales",7,"Hebeloma hygrophilum","hygrophilum",NA,NA,NA,"KT275664.1","99% across 99%","19PED"
"56",294,666,"Hebeloma_cf._atrobrunneum","Hebeloma",10,"19","PED","19PED2",1,-0.1,"Basidiomycota","Agaricales",7,"Hebeloma hygrophilum","hygrophilum",NA,NA,NA,"KT275664.1","99% across 99%","19PED"
"57",302,679,"Cortinarius1","Cortinarius",10,"19","PET","19PET1",1,-0.1,"Basidiomycota","Agaricales",5,"Cortinarius junghuhnii","junghuhnii",NA,NA,NA,"KT275660.1","99% across 99%, also decepiens, also leucopus","19PET"
"58",304,681,"Cortinarius1","Cortinarius",10,"19","PET","19PET1",1,-0.1,"Basidiomycota","Agaricales",5,"Cortinarius junghuhnii","junghuhnii",NA,NA,NA,"KT275660.1","99% across 99%, also decepiens, also leucopus","19PET"
"59",305,682,"Cortinarius1","Cortinarius",10,"19","PET","19PET1",1,-0.1,"Basidiomycota","Agaricales",5,"Cortinarius junghuhnii","junghuhnii",NA,NA,NA,"KT275660.1","99% across 99%, also decepiens, also leucopus","19PET"
"60",307,684,"Cortinarius1","Cortinarius",10,"19","PET","19PET1",1,-0.1,"Basidiomycota","Agaricales",5,"Cortinarius junghuhnii","junghuhnii",NA,NA,NA,"KT275660.1","99% across 99%, also decepiens, also leucopus","19PET"
"61",308,685,"Hebeloma_cf._atrobrunneum","Hebeloma",10,"19","PET","19PET1",1,-0.1,"Basidiomycota","Agaricales",7,"Hebeloma hygrophilum","hygrophilum",NA,NA,NA,"KT275664.1","99% across 99%","19PET"
"62",310,687,"Hebeloma_cf._atrobrunneum","Hebeloma",10,"19","PET","19PET1",1,-0.1,"Basidiomycota","Agaricales",7,"Hebeloma hygrophilum","hygrophilum",NA,NA,NA,"KT275664.1","99% across 99%","19PET"
"63",311,688,"Cortinarius1","Cortinarius",10,"19","PET","19PET1",1,-0.1,"Basidiomycota","Agaricales",5,"Cortinarius junghuhnii","junghuhnii",NA,NA,NA,"KT275660.1","99% across 99%, also decepiens, also leucopus","19PET"
"64",312,689,"Hebeloma_cf._atrobrunneum","Hebeloma",10,"19","PET","19PET1",1,-0.1,"Basidiomycota","Agaricales",7,"Hebeloma hygrophilum","hygrophilum",NA,NA,NA,"KT275664.1","99% across 99%","19PET"
"65",342,725,"Hebeloma_cf._atrobrunneum","Hebeloma",10,"19","CAN","19CAN1",1,-0.1,"Basidiomycota","Agaricales",7,"Hebeloma hygrophilum","hygrophilum",NA,NA,NA,"KT275664.1","99% across 99%","19CAN"
"66",357,755,"Inocybe_glabrescens","Inocybe",9,"40","BEB","40BEB3",1,-0.1,"Basidiomycota","Agaricales",11,"Inocybe glabrescens","glabrescens",NA,NA,NA,"KT275657.1","97% similar or flocculoso or abjecta","40BEB"
"67",358,756,"Inocybe_glabrescens","Inocybe",9,"40","BEB","40BEB3",1,-0.1,"Basidiomycota","Agaricales",11,"Inocybe glabrescens","glabrescens",NA,NA,NA,"KT275657.1","97% similar or flocculoso or abjecta","40BEB"
"68",360,758,"Inocybe_glabrescens","Inocybe",9,"40","BEB","40BEB3",1,-0.1,"Basidiomycota","Agaricales",11,"Inocybe glabrescens","glabrescens",NA,NA,NA,"KT275657.1","97% similar or flocculoso or abjecta","40BEB"
"69",361,759,"Inocybe_glabrescens","Inocybe",9,"40","BEB","40BEB3",1,-0.1,"Basidiomycota","Agaricales",11,"Inocybe glabrescens","glabrescens",NA,NA,NA,"KT275657.1","97% similar or flocculoso or abjecta","40BEB"
"70",362,760,"Inocybe_glabrescens","Inocybe",9,"40","BEB","40BEB3",1,-0.1,"Basidiomycota","Agaricales",11,"Inocybe glabrescens","glabrescens",NA,NA,NA,"KT275657.1","97% similar or flocculoso or abjecta","40BEB"
"71",377,779,"Laccaria_laccata","Laccaria",9,"40","DIS","40DIS1",1,-0.1,"Basidiomycota","Agaricales",12,"Laccaria alba","alba",NA,NA,NA,"KT275642.1","99% similar, more likecly to be alba than laccata since its largely idintifies with cf. laccata","40DIS"
"72",390,800,"Laccaria_laccata","Laccaria",9,"40","PET","40PET2",1,-0.1,"Basidiomycota","Agaricales",12,"Laccaria alba","alba",NA,NA,NA,"KT275642.1","99% similar, more likecly to be alba than laccata since its largely idintifies with cf. laccata","40PET"
"73",412,864,"Hebeloma_cf._atrobrunneum","Hebeloma",7,"34","PET","34PET1",1,-0.1,"Basidiomycota","Agaricales",7,"Hebeloma hygrophilum","hygrophilum",NA,NA,NA,"KT275664.1","99% across 99%","34PET"
"74",413,865,"Hebeloma_cf._atrobrunneum","Hebeloma",7,"34","PET","34PET1",1,-0.1,"Basidiomycota","Agaricales",7,"Hebeloma hygrophilum","hygrophilum",NA,NA,NA,"KT275664.1","99% across 99%","34PET"
"75",414,866,"Hebeloma_cf._atrobrunneum","Hebeloma",7,"34","PET","34PET1",1,-0.1,"Basidiomycota","Agaricales",7,"Hebeloma hygrophilum","hygrophilum",NA,NA,NA,"KT275664.1","99% across 99%","34PET"
"76",415,867,"Hebeloma_cf._atrobrunneum","Hebeloma",7,"34","PET","34PET1",1,-0.1,"Basidiomycota","Agaricales",7,"Hebeloma hygrophilum","hygrophilum",NA,NA,NA,"KT275664.1","99% across 99%","34PET"
"77",428,883,"Hebeloma_cf._atrobrunneum","Hebeloma",7,"34","SER","34SER2",1,-0.1,"Basidiomycota","Agaricales",7,"Hebeloma hygrophilum","hygrophilum",NA,NA,NA,"KT275664.1","99% across 99%","34SER"
"78",439,894,"Hebeloma_cf._atrobrunneum","Hebeloma",7,"34","SER","34SER2",1,-0.1,"Basidiomycota","Agaricales",7,"Hebeloma hygrophilum","hygrophilum",NA,NA,NA,"KT275664.1","99% across 99%","34SER"
"79",450,907,"Hebeloma_cf._atrobrunneum","Hebeloma",7,"34","PET","34PET3",1,-0.1,"Basidiomycota","Agaricales",7,"Hebeloma hygrophilum","hygrophilum",NA,NA,NA,"KT275664.1","99% across 99%","34PET"
"80",451,908,"Hebeloma_cf._atrobrunneum","Hebeloma",7,"34","PET","34PET3",1,-0.1,"Basidiomycota","Agaricales",7,"Hebeloma hygrophilum","hygrophilum",NA,NA,NA,"KT275664.1","99% across 99%","34PET"
"81",452,910,"Hebeloma_cf._atrobrunneum","Hebeloma",7,"34","PET","34PET3",1,-0.1,"Basidiomycota","Agaricales",7,"Hebeloma hygrophilum","hygrophilum",NA,NA,NA,"KT275664.1","99% across 99%","34PET"
"82",453,912,"Hebeloma_cf._atrobrunneum","Hebeloma",7,"34","PET","34PET3",1,-0.1,"Basidiomycota","Agaricales",7,"Hebeloma hygrophilum","hygrophilum",NA,NA,NA,"KT275664.1","99% across 99%","34PET"
"83",460,921,"Inocybe_lacera_var._lacera","Inocybe",7,"34","CAN","34CAN3",1,-0.1,"Basidiomycota","Agaricales",6,"Inocybe lacera","lacera","lacera","N","short","KT275681.1","97% similar","34CAN"
"84",464,926,"Inocybe_lacera_var._lacera","Inocybe",7,"34","CAN","34CAN3",1,-0.1,"Basidiomycota","Agaricales",6,"Inocybe lacera","lacera","lacera","N","short","KT275681.1","97% similar","34CAN"
"85",465,927,"Inocybe_lacera_var._lacera","Inocybe",7,"34","CAN","34CAN3",1,-0.1,"Basidiomycota","Agaricales",6,"Inocybe lacera","lacera","lacera","N","short","KT275681.1","97% similar","34CAN"
