"","Tip","Ecto_spp","type","trait","Plot","Site","Salix.spp","Ind","Plspp","mean","...1","Ecto_ID","Species","Rhizomorph","Foraging_distance","Genus","em_expl","Ectomycorrhiza_exploration_type_template"
"56",284,"Russula_nigricans","contact","exploration_type",2,"10","HUM","10HUM2","10HUM",-1,42,"Russula nigricans","nigricans","Y","medium","Russula",NA,"contact"
"57",285,"Russula_nigricans","contact","exploration_type",2,"10","HUM","10HUM2","10HUM",-1,42,"Russula nigricans","nigricans","Y","medium","Russula",NA,"contact"
"58",286,"Russula_nigricans","contact","exploration_type",2,"10","HUM","10HUM2","10HUM",-1,42,"Russula nigricans","nigricans","Y","medium","Russula",NA,"contact"
"59",288,"Russula_nigricans","contact","exploration_type",2,"10","HUM","10HUM2","10HUM",-1,42,"Russula nigricans","nigricans","Y","medium","Russula",NA,"contact"
"60",289,"Russula_nigricans","contact","exploration_type",2,"10","HUM","10HUM2","10HUM",-1,42,"Russula nigricans","nigricans","Y","medium","Russula",NA,"contact"
"61",290,"Russula_nigricans","contact","exploration_type",2,"10","HUM","10HUM2","10HUM",-1,42,"Russula nigricans","nigricans","Y","medium","Russula",NA,"contact"
"62",291,"Russula_nigricans","contact","exploration_type",2,"10","HUM","10HUM2","10HUM",-1,42,"Russula nigricans","nigricans","Y","medium","Russula",NA,"contact"
"63",292,"Russula_nigricans","contact","exploration_type",2,"10","HUM","10HUM2","10HUM",-1,42,"Russula nigricans","nigricans","Y","medium","Russula",NA,"contact"
"64",1224,"Russula_emetica","contact","exploration_type",1,"AS1","HUM","AS1HUM3","AS1HUM",-1.3,47,"Russula emetica","emetica","N","contact","Russula",NA,"contact"
"65",402,"Sebacina3","short","exploration_type",4,"26","BEB","26BEB1","26BEB",-0.4,49,"Sebacina sp.","sp.",NA,NA,"Sebacina","SD ","short-distance_delicate"
