,Tip,Ecto_spp,Genus,Plot,Site,Salix.spp,Ind,abund,Plspp,mean,Phylum,Order
522,1037,Cortinarius3,Cortinarius,12,49,DIS,49DIS1,1,49DIS,0.1,Basidiomycota,Agaricales
559,1075,Hebeloma2,Hebeloma,12,49,PED,49PED1,1,49PED,0.1,Basidiomycota,Agaricales
566,1084,Hebeloma2,Hebeloma,12,49,PED,49PED1,1,49PED,0.1,Basidiomycota,Agaricales
583,1104,Hebeloma_cf._atrobrunneum,Hebeloma,11,68,PET,68PET2,1,68PET,-0.1,Basidiomycota,Agaricales
586,1110,Hebeloma_cf._atrobrunneum,Hebeloma,11,68,PET,68PET2,1,68PET,-0.1,Basidiomycota,Agaricales
587,1111,Inocybe_glabrescens,Inocybe,11,68,SER,68SER1,1,68SER,-0.1,Basidiomycota,Agaricales
588,1112,Inocybe3,Inocybe,11,68,SER,68SER1,1,68SER,-0.1,Basidiomycota,Agaricales
589,1116,Inocybe3,Inocybe,11,68,SER,68SER1,1,68SER,-0.1,Basidiomycota,Agaricales
592,1119,Inocybe3,Inocybe,11,68,SER,68SER1,1,68SER,-0.1,Basidiomycota,Agaricales
593,1121,Inocybe_glabrescens,Inocybe,11,68,SER,68SER1,1,68SER,-0.1,Basidiomycota,Agaricales
604,1151,Hebeloma_cf._atrobrunneum,Hebeloma,11,68,PET,68PET1,1,68PET,-0.1,Basidiomycota,Agaricales
605,1152,Hebeloma_cf._atrobrunneum,Hebeloma,11,68,PET,68PET1,1,68PET,-0.1,Basidiomycota,Agaricales
608,1155,Hebeloma_cf._atrobrunneum,Hebeloma,11,68,PET,68PET1,1,68PET,-0.1,Basidiomycota,Agaricales
610,1157,Hebeloma1,Hebeloma,11,68,PET,68PET1,1,68PET,-0.1,Basidiomycota,Agaricales
614,1195,Cortinarius4,Cortinarius,1,AS1,HUM,AS1HUM1,1,AS1HUM,-1.3,Basidiomycota,Agaricales
627,1217,Inocybe4,Inocybe,1,AS1,HUM,AS1HUM2,1,AS1HUM,-1.3,Basidiomycota,Agaricales
637,1229,Inocybe4,Inocybe,1,AS1,HUM,AS1HUM3,1,AS1HUM,-1.3,Basidiomycota,Agaricales
638,1230,Inocybe4,Inocybe,1,AS1,HUM,AS1HUM3,1,AS1HUM,-1.3,Basidiomycota,Agaricales
677,1334,Inocybe9,Inocybe,3,AS3,HUM,AS3HUM3,1,AS3HUM,-0.9,Basidiomycota,Agaricales
678,1337,Laccaria1,Laccaria,3,AS3,HUM,AS3HUM3,1,AS3HUM,-0.9,Basidiomycota,Agaricales
726,1412,Cortinarius4,Cortinarius,3,AS3,BEB,AS3BEB3,1,AS3BEB,-0.9,Basidiomycota,Agaricales
761,1473,Laccaria_laccata,Laccaria,6,89,BEB,,1,89BEB,-0.3,Basidiomycota,Agaricales
762,1474,Laccaria_laccata,Laccaria,6,89,BEB,,1,89BEB,-0.3,Basidiomycota,Agaricales
458,919,Cadophora_finlandica,Cadophora,7,34,CAN,34CAN3,1,34CAN,-0.1,Ascomycota,Cadophora
19,69,Clavulinopsis_helvola,Clavulina,6,89,PET,BB-2c,1,89PET,-0.3,Basidiomycota,Cantharellales
80,296,Clavulina2,Clavulina,2,10,HUM,10HUM3,1,10HUM,-1,Basidiomycota,Cantharellales
81,298,Clavulina2,Clavulina,2,10,HUM,10HUM3,1,10HUM,-1,Basidiomycota,Cantharellales
82,302,Clavulina2,Clavulina,2,10,HUM,10HUM3,1,10HUM,-1,Basidiomycota,Cantharellales
85,305,Clavulina2,Clavulina,2,10,HUM,10HUM3,1,10HUM,-1,Basidiomycota,Cantharellales
86,306,Clavulina2,Clavulina,2,10,HUM,10HUM3,1,10HUM,-1,Basidiomycota,Cantharellales
87,307,Clavulina2,Clavulina,2,10,HUM,10HUM3,1,10HUM,-1,Basidiomycota,Cantharellales
500,1014,Clavulina_cf._amethystina,Clavulina,12,49,PET,49PET3,1,49PET,0.1,Basidiomycota,Cantharellales
512,1027,Clavulina_cf._amethystina,Clavulina,12,49,DIS,49DIS1,1,49DIS,0.1,Basidiomycota,Cantharellales
513,1028,Clavulina_cf._amethystina,Clavulina,12,49,DIS,49DIS1,1,49DIS,0.1,Basidiomycota,Cantharellales
523,1038,Clavulina_cf._amethystina,Clavulina,12,49,DIS,49DIS1,1,49DIS,0.1,Basidiomycota,Cantharellales
526,1041,Clavulina_cf._amethystina,Clavulina,12,49,PET,49PET2,1,49PET,0.1,Basidiomycota,Cantharellales
531,1046,Clavulina_cf._amethystina,Clavulina,12,49,PET,49PET2,1,49PET,0.1,Basidiomycota,Cantharellales
532,1047,Clavulina_cf._amethystina,Clavulina,12,49,PET,49PET2,1,49PET,0.1,Basidiomycota,Cantharellales
533,1048,Clavulina_cf._amethystina,Clavulina,12,49,PET,49PET2,1,49PET,0.1,Basidiomycota,Cantharellales
534,1049,Clavulina_cf._amethystina,Clavulina,12,49,PET,49PET2,1,49PET,0.1,Basidiomycota,Cantharellales
535,1050,Clavulina_cf._amethystina,Clavulina,12,49,PET,49PET2,1,49PET,0.1,Basidiomycota,Cantharellales
536,1052,Clavulina_cf._amethystina,Clavulina,12,49,DIS,49DIS2,1,49DIS,0.1,Basidiomycota,Cantharellales
537,1053,Clavulina_cf._amethystina,Clavulina,12,49,DIS,49DIS2,1,49DIS,0.1,Basidiomycota,Cantharellales
538,1054,Clavulina_cf._amethystina,Clavulina,12,49,DIS,49DIS2,1,49DIS,0.1,Basidiomycota,Cantharellales
539,1055,Clavulina_cf._amethystina,Clavulina,12,49,DIS,49DIS2,1,49DIS,0.1,Basidiomycota,Cantharellales
540,1056,Clavulina_cf._amethystina,Clavulina,12,49,DIS,49DIS2,1,49DIS,0.1,Basidiomycota,Cantharellales
541,1058,Clavulina_cf._amethystina,Clavulina,12,49,DIS,49DIS2,1,49DIS,0.1,Basidiomycota,Cantharellales
542,1059,Clavulina_cf._amethystina,Clavulina,12,49,DIS,49DIS2,1,49DIS,0.1,Basidiomycota,Cantharellales
544,1061,Clavulina_cf._amethystina,Clavulina,12,49,DIS,49DIS2,1,49DIS,0.1,Basidiomycota,Cantharellales
545,1062,Clavulina_cf._amethystina,Clavulina,12,49,DIS,49DIS2,1,49DIS,0.1,Basidiomycota,Cantharellales
549,1066,Clavulina_cf._amethystina,Clavulina,12,49,PET,49PET1,1,49PET,0.1,Basidiomycota,Cantharellales
556,1073,Clavulina_cf._amethystina,Clavulina,12,49,PET,49PET1,1,49PET,0.1,Basidiomycota,Cantharellales
557,1074,Clavulina_cf._amethystina,Clavulina,12,49,PET,49PET1,1,49PET,0.1,Basidiomycota,Cantharellales
617,1200,Clavulinopsis_helvola,Clavulina,1,AS1,HUM,AS1HUM1,1,AS1HUM,-1.3,Basidiomycota,Cantharellales
647,1258,Clavulinopsis_helvola,Clavulina,1,AS1,PET,AS1PET3,1,AS1PET,-1.3,Basidiomycota,Cantharellales
648,1259,Clavulinopsis_helvola,Clavulina,1,AS1,PET,AS1PET3,1,AS1PET,-1.3,Basidiomycota,Cantharellales
692,1352,Clavulinopsis_helvola,Clavulina,3,AS3,PET,AS3PET2,1,AS3PET,-0.9,Basidiomycota,Cantharellales
7,13,Cenococcum_geophilum,Cenococcum,6,89,DIS,BB-3M,1,89DIS,-0.3,Ascomycota,Incertae sedis
42,215,Cenococcum_geophilum,Cenococcum,2,10,HUM,10HUM1,1,10HUM,-1,Ascomycota,Incertae sedis
43,218,Cenococcum_geophilum,Cenococcum,2,10,HUM,10HUM1,1,10HUM,-1,Ascomycota,Incertae sedis
46,221,Cenococcum_geophilum,Cenococcum,2,10,HUM,10HUM1,1,10HUM,-1,Ascomycota,Incertae sedis
366,766,Cenococcum_geophilum,Cenococcum,9,40,DIS,40DIS3,1,40DIS,-0.1,Ascomycota,Incertae sedis
371,771,Cenococcum_geophilum,Cenococcum,9,40,DIS,40DIS3,1,40DIS,-0.1,Ascomycota,Incertae sedis
563,1080,Cenococcum_geophilum,Cenococcum,12,49,PED,49PED1,1,49PED,0.1,Ascomycota,Incertae sedis
567,1085,Cenococcum_geophilum,Cenococcum,12,49,PED,49PED1,1,49PED,0.1,Ascomycota,Incertae sedis
615,1196,Cenococcum_geophilum,Cenococcum,1,AS1,HUM,AS1HUM1,1,AS1HUM,-1.3,Ascomycota,Incertae sedis
616,1198,Cenococcum_geophilum,Cenococcum,1,AS1,HUM,AS1HUM1,1,AS1HUM,-1.3,Ascomycota,Incertae sedis
619,1202,Cenococcum_geophilum,Cenococcum,1,AS1,HUM,AS1HUM1,1,AS1HUM,-1.3,Ascomycota,Incertae sedis
621,1206,Cenococcum_geophilum,Cenococcum,1,AS1,HUM,AS1HUM1,1,AS1HUM,-1.3,Ascomycota,Incertae sedis
626,1216,Cenococcum_geophilum,Cenococcum,1,AS1,HUM,AS1HUM2,1,AS1HUM,-1.3,Ascomycota,Incertae sedis
628,1220,Cenococcum_geophilum,Cenococcum,1,AS1,HUM,AS1HUM3,1,AS1HUM,-1.3,Ascomycota,Incertae sedis
634,1225,Cenococcum_geophilum,Cenococcum,1,AS1,HUM,AS1HUM3,1,AS1HUM,-1.3,Ascomycota,Incertae sedis
636,1227,Cenococcum_geophilum,Cenococcum,1,AS1,HUM,AS1HUM3,1,AS1HUM,-1.3,Ascomycota,Incertae sedis
693,1354,Cenococcum_geophilum,Cenococcum,3,AS3,PET,AS3PET2,1,AS3PET,-0.9,Ascomycota,Incertae sedis
699,1359,Cenococcum_geophilum,Cenococcum,3,AS3,PET,AS3PET2,1,AS3PET,-0.9,Ascomycota,Incertae sedis
6,12,Meliniomyces1,Meliniomyces,6,89,DIS,BB-3M,1,89DIS,-0.3,Ascomycota,Incertae sedis
9,16,Meliniomyces1,Meliniomyces,6,89,DIS,BB-3S,1,89DIS,-0.3,Ascomycota,Incertae sedis
37,203,Meliniomyces1,Meliniomyces,2,10,PET,10PET1,1,10PET,-1,Ascomycota,Incertae sedis
197,539,Meliniomyces1,Meliniomyces,5,92,BEB,92BEB3,1,92BEB,-0.4,Ascomycota,Incertae sedis
387,797,Meliniomyces1,Meliniomyces,9,40,BEB,40BEB2,1,40BEB,-0.1,Ascomycota,Incertae sedis
618,1201,Meliniomyces1,Meliniomyces,1,AS1,HUM,AS1HUM1,1,AS1HUM,-1.3,Ascomycota,Incertae sedis
620,1205,Meliniomyces1,Meliniomyces,1,AS1,HUM,AS1HUM1,1,AS1HUM,-1.3,Ascomycota,Incertae sedis
641,1234,Meliniomyces1,Meliniomyces,1,AS1,PET,AS1PET1,1,AS1PET,-1.3,Ascomycota,Incertae sedis
649,1283,Meliniomyces1,Meliniomyces,1,AS1,BEB,AS1BEB2,1,AS1BEB,-1.3,Ascomycota,Incertae sedis
650,1284,Meliniomyces1,Meliniomyces,1,AS1,BEB,AS1BEB2,1,AS1BEB,-1.3,Ascomycota,Incertae sedis
756,1466,Meliniomyces1,Meliniomyces,6,89,BEB,,1,89BEB,-0.3,Ascomycota,Incertae sedis
10,21,Chromelosporium1,Chromelosporium,6,89,DIS,BB-3S,1,89DIS,-0.3,Ascomycota,Pezizales
47,232,Otidea_cf._bufonia,Otidea,2,10,DIS,10DIS1,1,10DIS,-1,Ascomycota,Pezizales
88,366,Peziza4,Peziza,4,26,DIS,26DIS1,1,26DIS,-0.4,Ascomycota,Pezizales
90,368,Peziza4,Peziza,4,26,DIS,26DIS1,1,26DIS,-0.4,Ascomycota,Pezizales
92,371,Peziza4,Peziza,4,26,DIS,26DIS1,1,26DIS,-0.4,Ascomycota,Pezizales
96,375,Peziza4,Peziza,4,26,DIS,26DIS1,1,26DIS,-0.4,Ascomycota,Pezizales
118,409,Peziza4,Peziza,4,26,BEB,26BEB1,1,26BEB,-0.4,Ascomycota,Pezizales
165,463,Peziza2,Peziza,4,26,PET,26PET3,1,26PET,-0.4,Ascomycota,Pezizales
169,466,Peziza2,Peziza,4,26,PET,26PET3,1,26PET,-0.4,Ascomycota,Pezizales
171,468,Peziza2,Peziza,4,26,PET,26PET3,1,26PET,-0.4,Ascomycota,Pezizales
172,469,Peziza2,Peziza,4,26,PET,26PET3,1,26PET,-0.4,Ascomycota,Pezizales
173,470,Peziza2,Peziza,4,26,PET,26PET3,1,26PET,-0.4,Ascomycota,Pezizales
174,471,Peziza2,Peziza,4,26,PET,26PET3,1,26PET,-0.4,Ascomycota,Pezizales
175,472,Peziza2,Peziza,4,26,PET,26PET3,1,26PET,-0.4,Ascomycota,Pezizales
176,473,Peziza2,Peziza,4,26,PET,26PET3,1,26PET,-0.4,Ascomycota,Pezizales
192,518,Tuber3,Tuber,5,92,BEB,92BEB2,1,92BEB,-0.4,Ascomycota,Pezizales
202,547,Geopora2,Geopora,8,18,PET,18PET2,1,18PET,-0.1,Ascomycota,Pezizales
203,548,Geopora2,Geopora,8,18,PET,18PET2,1,18PET,-0.1,Ascomycota,Pezizales
217,565,Geopora2,Geopora,8,18,PET,18PET3,1,18PET,-0.1,Ascomycota,Pezizales
219,567,Tuber1,Tuber,8,18,PET,18PET3,1,18PET,-0.1,Ascomycota,Pezizales
249,609,Peziza2,Peziza,8,18,DIS,18DIS1,1,18DIS,-0.1,Ascomycota,Pezizales
250,610,Peziza2,Peziza,8,18,DIS,18DIS1,1,18DIS,-0.1,Ascomycota,Pezizales
251,611,Peziza2,Peziza,8,18,DIS,18DIS1,1,18DIS,-0.1,Ascomycota,Pezizales
252,612,Peziza2,Peziza,8,18,DIS,18DIS1,1,18DIS,-0.1,Ascomycota,Pezizales
254,614,Peziza2,Peziza,8,18,DIS,18DIS1,1,18DIS,-0.1,Ascomycota,Pezizales
255,615,Peziza2,Peziza,8,18,DIS,18DIS1,1,18DIS,-0.1,Ascomycota,Pezizales
256,616,Peziza2,Peziza,8,18,DIS,18DIS1,1,18DIS,-0.1,Ascomycota,Pezizales
257,617,Peziza2,Peziza,8,18,DIS,18DIS1,1,18DIS,-0.1,Ascomycota,Pezizales
258,618,Peziza2,Peziza,8,18,DIS,18DIS3,1,18DIS,-0.1,Ascomycota,Pezizales
295,667,Peziza3,Peziza,10,19,PED,19PED3,1,19PED,-0.1,Ascomycota,Pezizales
296,668,Peziza3,Peziza,10,19,PED,19PED3,1,19PED,-0.1,Ascomycota,Pezizales
297,669,Peziza3,Peziza,10,19,PED,19PED3,1,19PED,-0.1,Ascomycota,Pezizales
298,670,Peziza3,Peziza,10,19,PED,19PED3,1,19PED,-0.1,Ascomycota,Pezizales
299,673,Peziza3,Peziza,10,19,PED,19PED3,1,19PED,-0.1,Ascomycota,Pezizales
300,676,Peziza1,Peziza,10,19,PED,19PED3,1,19PED,-0.1,Ascomycota,Pezizales
301,677,Peziza3,Peziza,10,19,PED,19PED3,1,19PED,-0.1,Ascomycota,Pezizales
332,715,Peziza1,Peziza,10,19,CAN,19CAN1,1,19CAN,-0.1,Ascomycota,Pezizales
333,716,Peziza1,Peziza,10,19,CAN,19CAN1,1,19CAN,-0.1,Ascomycota,Pezizales
334,717,Geopora3,Geopora,10,19,CAN,19CAN1,1,19CAN,-0.1,Ascomycota,Pezizales
335,718,Peziza1,Peziza,10,19,CAN,19CAN1,1,19CAN,-0.1,Ascomycota,Pezizales
336,719,Peziza1,Peziza,10,19,CAN,19CAN1,1,19CAN,-0.1,Ascomycota,Pezizales
337,720,Peziza1,Peziza,10,19,CAN,19CAN1,1,19CAN,-0.1,Ascomycota,Pezizales
338,721,Peziza1,Peziza,10,19,CAN,19CAN1,1,19CAN,-0.1,Ascomycota,Pezizales
339,722,Peziza1,Peziza,10,19,CAN,19CAN1,1,19CAN,-0.1,Ascomycota,Pezizales
340,723,Peziza1,Peziza,10,19,CAN,19CAN1,1,19CAN,-0.1,Ascomycota,Pezizales
341,724,Peziza1,Peziza,10,19,CAN,19CAN1,1,19CAN,-0.1,Ascomycota,Pezizales
343,726,Peziza1,Peziza,10,19,CAN,19CAN1,1,19CAN,-0.1,Ascomycota,Pezizales
344,739,Tuber2,Tuber,10,19,CAN,19CAN3,1,19CAN,-0.1,Ascomycota,Pezizales
345,740,Peziza1,Peziza,10,19,CAN,19CAN3,1,19CAN,-0.1,Ascomycota,Pezizales
346,741,Peziza1,Peziza,10,19,CAN,19CAN3,1,19CAN,-0.1,Ascomycota,Pezizales
347,742,Tuber2,Tuber,10,19,CAN,19CAN3,1,19CAN,-0.1,Ascomycota,Pezizales
348,743,Peziza1,Peziza,10,19,CAN,19CAN3,1,19CAN,-0.1,Ascomycota,Pezizales
